what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.wst.jsdt.web.support.jsp,1.0.400.v201102241833,"org.eclipse.wst.jsdt.web.support.jsp",1316396363484
started,bundle,org.eclipse.wst.jsdt.web.ui,1.0.400.v201103080228,"org.eclipse.wst.jsdt.web.ui",1316396363484
started,bundle,org.eclipse.wst.server.core,1.1.302.v20110518,"org.eclipse.wst.server.core",1316396363546
started,bundle,org.eclipse.wst.server.ui,1.1.305.v20110511,"org.eclipse.wst.server.ui",1316396363546
started,bundle,org.eclipse.wst.sse.core,1.1.600.v201105162116,"org.eclipse.wst.sse.core",1316396363562
started,bundle,org.eclipse.wst.sse.ui,1.3.0.v201105101529,"org.eclipse.wst.sse.ui",1316396363577
started,bundle,org.eclipse.wst.validation,1.2.300.v201104190230,"org.eclipse.wst.validation",1316396363577
started,bundle,org.eclipse.wst.web,1.1.500.v201104251400,"org.eclipse.wst.web",1316396363577
started,bundle,org.eclipse.wst.xml.core,1.1.600.v201104251227,"org.eclipse.wst.xml.core",1316396363624
started,bundle,org.eclipse.wst.xml.ui,1.1.200.v201105111835,"org.eclipse.wst.xml.ui",1316396363734
started,bundle,org.eclipse.wst.xsl.core,1.1.100.v201102270516,"org.eclipse.wst.xsl.core",1316396363812
started,bundle,org.eclipse.wst.xsl.exslt.core,1.0.0.v201005240426,"org.eclipse.wst.xsl.exslt.core",1316396363843
os,sysinfo,,,"win32",1316396363859
arch,sysinfo,,,"x86",1316396363859
ws,sysinfo,,,"win32",1316396363859
locale,sysinfo,,,"en_GB",1316396363859
processors,sysinfo,,,"1",1316396363859
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1316396363859
java.runtime.version,sysinfo,,,"1.6.0_10-b33",1316396363859
java.specification.name,sysinfo,,,"Java Platform API Specification",1316396363859
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1316396363859
java.specification.version,sysinfo,,,"1.6",1316396363859
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1316396363859
java.version,sysinfo,,,"1.6.0_10",1316396363859
java.vm.info,sysinfo,,,"mixed mode",1316396363859
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1316396363859
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1316396363859
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1316396363859
java.vm.specification.version,sysinfo,,,"1.0",1316396363859
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1316396363859
java.vm.version,sysinfo,,,"11.0-b15",1316396363859
started,bundle,org.eclipse.jst.jsf.common,1.2.3.v201104061039,"org.eclipse.jst.jsf.common",1316396364859
started,bundle,org.eclipse.jst.jsf.core,1.3.5.v201105031140,"org.eclipse.jst.jsf.core",1316396364937
started,bundle,org.eclipse.epp.usagedata.ui,1.3.1.R201106061540,"org.eclipse.epp.usagedata.ui",1316396365077
started,bundle,org.eclipse.wst.wsdl.validation,1.1.502.v201104071820,"org.eclipse.wst.wsdl.validation",1316396365437
started,bundle,org.eclipse.wst.xsd.core,1.1.600.v201104070312,"org.eclipse.wst.xsd.core",1316396366062
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1316396369062
