studentID,thread_view,post_reply,post_create,groupID
1,72,7,2,1
2,0,0,0,1
3,49,0,4,1
4,3,0,0,1
5,8,0,0,2
6,21,1,0,2
7,14,2,0,2
8,2,1,0,2
9,53,7,7,2
10,8,3,0,3
11,155,8,5,3
12,1,0,0,3
13,13,2,0,3
14,2,0,0,3
15,400,43,19,4
16,107,41,5,4
17,46,5,0,4
18,16,0,0,4
19,53,4,0,4
20,24,0,0,5
21,21,4,0,5
22,36,4,1,5
23,43,1,4,5
24,55,1,2,5
25,16,0,0,6
26,0,0,0,6
27,20,0,1,6
28,16,1,0,6
29,0,0,0,6
30,25,3,0,7
31,11,5,0,7
32,3,2,0,7
33,37,5,6,7
34,7,2,0,7
35,0,0,0,8
36,2,0,0,8
37,0,0,0,8
38,10,1,0,8
39,41,6,1,9
40,36,2,1,9
41,3,3,0,9
42,31,1,1,9
43,8,1,0,9
44,41,9,1,10
45,26,1,0,10
46,81,14,4,10
47,64,8,0,10
48,45,5,0,10
49,71,3,0,11
50,6,0,0,11
51,5,0,0,11
52,166,16,4,11
53,77,15,6,11
54,0,0,0,12
55,32,7,0,12
56,16,3,4,12
57,8,3,0,12
58,0,0,0,12
59,8,0,0,13
60,0,0,0,13
61,2,0,0,13
62,4,0,0,13
63,1,0,0,13
64,0,0,0,14
65,0,0,0,14
66,0,0,0,14
67,21,0,1,14
68,65,8,7,14
69,5,2,0,16
70,2,0,0,16
71,6,0,0,16
72,0,0,0,16
73,8,0,0,16
74,5,2,0,17
75,21,3,0,17
76,109,22,13,17
77,4,0,0,17
78,34,3,2,17
79,31,6,1,18
80,6,0,0,18
81,7,2,0,18
82,0,0,0,18
83,2,1,0,18
84,0,0,0,19
85,0,0,0,19
86,0,0,0,19
87,0,0,0,19
